BEER	ABV	IBU	GRAVITY	COLOR	CATEGORY_ID	CATEGORY_NAME	STYLE_ID	STYLE_NAME
Steinhaus Jumping Cow Amber Ale	5.5	32	1.012	13	29	Amber	1	American Amber / Red Ale
Steinhaus Mission St. Brown Ale	5.7	32	1.012	27	13	Brown Ale	4	American Brown Ale
Stella Artois Stella Artois	5	12	1.006	3	20	Lager	84	Euro Pale Lager
Stillwater Artisanal Cellar Door	6.6	NULL	NULL	NULL	24	Saison	NULL	NULL
Stillwater Artisanal Of Love & Regret	7.2	NULL	NULL	NULL	8	Misc	NULL	NULL
Stillwater Artisanal Stateside Saison	6.8	NULL	NULL	NULL	24	Saison	NULL	NULL
Stone 07.07.07 Vertical Epic Ale	8.4	NULL	NULL	NULL	36	Strong Ale	NULL	NULL
Stone 08.08.08 Vertical Epic Ale	8.4	NULL	NULL	NULL	36	Strong Ale	NULL	NULL
Stone 09.09.09 Vertical Epic Ale	8.5	NULL	NULL	NULL	36	Strong Ale	NULL	NULL
Stone 10.10.10 Vertical Epic Ale	9.5	NULL	NULL	NULL	36	Strong Ale	NULL	NULL
Stone 14th Anniversary Emperial IPA	8.9	90	1.017	12	10	India Pale Ale	6	American Double / Imperial IPA
Stone Arrogant Bastard	7.2	85	1.02	13	36	Strong Ale	13	American Strong Ale
Stone Cali-Belgique	6.9	55	1.014	11	10	India Pale Ale	22	Belgian IPA
Stone Double Bastard	10.5	85	1.02	13	36	Strong Ale	13	American Strong Ale
Stone Imperial Russian Stout	10.5	70	1.024	35	11	Stout	56	Russian Imperial Stout
Stone IPA	6.9	50	1.014	11	10	India Pale Ale	8	American IPA
Stone Levitation	4.4	32	1.012	13	29	Amber	1	American Amber / Red Ale
Stone Oaked Arrogant Bastard	7.2	85	1.02	13	36	Strong Ale	13	American Strong Ale
Stone Old Guardian	11.1	85	1.022	14	14	Barley Wine	2	American Barleywine
Stone Pale Ale	5.4	37	1.012	9	31	Pale Ale	9	American Pale Ale (APA)
Stone Ruination IPA	7.7	90	1.017	12	10	India Pale Ale	6	American Double / Imperial IPA
Stone Saison Du BUFF	6.8	25	1.007	9	24	Saison	36	Saison / Farmhouse Ale
Stone Smoked Porter	5.9	35	1.014	29	23	Porter	11	American Porter
Stone Sublimely Self-Righteous	8.7	85	1.02	13	36	Strong Ale	13	American Strong Ale
Stoudts American Pale Ale	5	37	1.012	9	31	Pale Ale	9	American Pale Ale (APA)
Stoudts Double IPA	10	90	1.017	12	10	India Pale Ale	6	American Double / Imperial IPA
Stoudts Fat Dog	9	70	1.024	35	11	Stout	7	American Double / Imperial Stout
Stoudts Gold Lager	5	19	1.01	4	20	Lager	94	Munich Helles Lager
Stoudts Pils	5.4	35	1.01	4	12	Pilsner	90	German Pilsener
Stoudts Scarlet Lady Ale	5	40	1.013	12	28	Bitter	51	Extra Special / Strong Bitter (ESB)
Stoudts Triple	9	30	1.011	6	9	Tripel	37	Tripel
Straub Peter Straub's Special Dark	4.1	NULL	NULL	NULL	29	Amber	NULL	NULL
Straub Straub Beer	4.3	NULL	NULL	NULL	20	Lager	NULL	NULL
Straub Straub Light	3.2	NULL	NULL	NULL	20	Lager	NULL	NULL
Sudwerk Imperial Pilsner	7	90	1.015	12	12	Pilsner	76	American Double / Imperial Pilsner
Summit ESB	5.1	NULL	NULL	NULL	28	Bitter	NULL	NULL
Summit Extra Pale Ale	5.1	NULL	NULL	NULL	31	Pale Ale	NULL	NULL
Summit Great Northern Porter	5.6	35	1.014	29	23	Porter	11	American Porter
Summit Hefe Weizen	4.2	12	1.012	5	26	Wheat Beer	63	Hefeweizen
Summit Horizon Red	5.7	NULL	NULL	NULL	29	Amber	NULL	NULL
Summit India Pale Ale	5.8	NULL	NULL	NULL	10	India Pale Ale	NULL	NULL
Summit Maibock	7.1	NULL	NULL	NULL	16	Bock Beer	NULL	NULL
Summit Oatmeal Stout	4.7	NULL	NULL	NULL	11	Stout	NULL	NULL
Summit Oktoberfest	7.4	NULL	NULL	NULL	42	Marzen	NULL	NULL
Summit Pilsener	5	NULL	NULL	NULL	12	Pilsner	NULL	NULL
Summit Scandia Ale	4.8	NULL	NULL	NULL	26	Wheat Beer	NULL	NULL
Summit Winter Ale	5.9	25	1.016	17	29	Amber	57	Winter Warmer
Sunner Sünner Kölsch	5.4	25	1.009	4	39	Kolsch	65	Kölsch
Surly Abrasive Ale	9.7	90	1.017	12	10	India Pale Ale	6	American Double / Imperial IPA
Surly Bender	5.1	32	1.012	27	13	Brown Ale	4	American Brown Ale
Surly Bitter Brewer	4	30	1.009	9	28	Bitter	42	English Bitter
Surly Coffee Bender	5.1	32	1.012	27	13	Brown Ale	4	American Brown Ale
Surly CynicAle	6.7	25	1.007	9	24	Saison	36	Saison / Farmhouse Ale
Surly Darkness	10.3	70	1.024	35	11	Stout	56	Russian Imperial Stout
Surly Four	10	NULL	NULL	NULL	11	Stout	NULL	NULL
Surly Furious	6.2	50	1.014	11	10	India Pale Ale	8	American IPA
Surly Hell	4.5	NULL	NULL	NULL	8	Misc	NULL	NULL
Surly Smoke	8.2	NULL	NULL	NULL	23	Porter	NULL	NULL
Surly SurlyFest	6.3	NULL	NULL	NULL	42	Marzen	NULL	NULL
Surly Wet	7.5	NULL	NULL	NULL	10	India Pale Ale	NULL	NULL
Sweetwater 420 Extra Pale Ale	5.4	37	1.012	9	31	Pale Ale	9	American Pale Ale (APA)
Sweetwater Georgia Brown	5.1	20	1.011	22	13	Brown Ale	43	English Brown Ale
Sweetwater IPA	6.7	50	1.014	11	10	India Pale Ale	8	American IPA
Sweetwater Sweetwater Blue	4.9	13	1.012	8	44	Fruit/Vegetable	101	Fruit / Vegetable Beer
Switchback Switchback Ale	5	NULL	NULL	NULL	31	Pale Ale	NULL	NULL
Tallgrass Buffalo Sweat	5	NULL	NULL	NULL	11	Stout	NULL	NULL
Tallgrass IPA	6.3	NULL	NULL	NULL	10	India Pale Ale	NULL	NULL
Tallgrass Kold	5	NULL	NULL	NULL	12	Pilsner	NULL	NULL
Tallgrass Oasis	7.2	NULL	NULL	NULL	10	India Pale Ale	NULL	NULL
Tallgrass Tallgrass Ale	4.4	NULL	NULL	NULL	13	Brown Ale	NULL	NULL
Telegraph California Ale	6.2	NULL	NULL	NULL	15	Steam Beer	NULL	NULL
Telegraph Golden Wheat Ale	5.0	NULL	NULL	NULL	26	Wheat Beer	NULL	NULL
Telegraph Gypsy Ale	8	NULL	NULL	NULL	32	Wild Ale	NULL	NULL
Telegraph Oatmeal Stout	6.5	NULL	NULL	NULL	11	Stout	NULL	NULL
Telegraph Reserve Wheat Ale	5	NULL	NULL	NULL	32	Wild Ale	NULL	NULL
Telegraph Rhinoceros	10	NULL	NULL	NULL	14	Barley Wine	NULL	NULL
Telegraph Robust Ale	7.5	NULL	NULL	NULL	36	Strong Ale	NULL	NULL
Telegraph Stock Porter	5.8	NULL	NULL	NULL	23	Porter	NULL	NULL
Telegraph White Ale	4.5	NULL	NULL	NULL	26	Wheat Beer	NULL	NULL
Telegraph Winter Ale	6.5	NULL	NULL	NULL	36	Strong Ale	NULL	NULL
Tennent Caledonian Tennent's Lager	5	NULL	NULL	NULL	20	Lager	NULL	NULL
Terrapin Big Hoppy Monster	8.3	32	1.012	13	29	Amber	1	American Amber / Red Ale
Terrapin Coffee Oatmeal Imperial Stout	8.1	70	1.024	35	11	Stout	7	American Double / Imperial Stout
Terrapin Gamma Ray	11	50	1.022	20	14	Barley Wine	20	Wheatwine
Terrapin Golden Ale	5	18	1.009	4	17	Cream Ale	17	Cream Ale
Terrapin Hop Karma Brown IPA	6	32	1.012	27	13	Brown Ale	4	American Brown Ale
Terrapin Hopsecutioner	7.2	50	1.014	11	10	India Pale Ale	8	American IPA
Terrapin Rye Pale Ale	5.3	37	1.012	9	31	Pale Ale	9	American Pale Ale (APA)
Terrapin Rye Squared	9.5	50	1.014	11	10	India Pale Ale	8	American IPA
The Bruery 2 Turtle Doves	12	28	1.017	17	36	Strong Ale	24	Belgian Strong Dark Ale
The Bruery Autumn Maple	10.5	28	1.017	17	36	Strong Ale	24	Belgian Strong Dark Ale
The Bruery Black Tuesday	19.5	NULL	NULL	NULL	11	Stout	NULL	NULL
The Bruery Hottenroth Berliner Weisse	3.1	7	1.004	3	26	Wheat Beer	60	Berliner Weissbier
The Bruery Mischief	8.5	28	1.011	4	36	Strong Ale	25	Belgian Strong Pale Ale
The Bruery Orchard White	5.7	15	1.01	3	26	Wheat Beer	38	Witbier
The Bruery Saison Rue	8.5	25	1.007	9	24	Saison	36	Saison / Farmhouse Ale
Theakston Old Peculier	5.7	45	1.019	16	38	Old Ale	55	Old Ale
Thiriez Amber	5.8	15	1.012	12	35	Biere de Garde	27	Bière de Garde
Thiriez Biere De Noel	5.8	25	1.016	17	13	Brown Ale	57	Winter Warmer
Thiriez Blonde	6	25	1.012	11	31	Pale Ale	23	Belgian Pale Ale
Thiriez Extra	4.5	NULL	NULL	NULL	24	Saison	NULL	NULL
Thirsty Dog Old Leghumper	6.7	35	1.014	29	23	Porter	11	American Porter
Thirsty Dog Siberian Night	9	70	1.024	35	11	Stout	56	Russian Imperial Stout
Thomas Hooker American Pale Ale	?	NULL	NULL	NULL	31	Pale Ale	NULL	NULL
Thomas Hooker Blonde Ale	5	18	1.009	4	17	Cream Ale	17	Cream Ale
Thomas Hooker Hop Meadow IPA	6.5	NULL	NULL	NULL	10	India Pale Ale	NULL	NULL
Thomas Hooker Imperial Porter	7.8	35	1.014	29	23	Porter	11	American Porter
Thomas Hooker Irish Red	5.3	22	1.011	14	29	Amber	69	Irish Red Ale
Thomas Hooker Liberator	8	21	1.02	16	16	Bock Beer	87	Doppelbock
Thomas Hooker Octoberfest Lager	?	NULL	NULL	NULL	42	Marzen	NULL	NULL
Thomas Hooker Old Marley	10	85	1.022	14	14	Barley Wine	2	American Barleywine
Thomas Hooker Watermelon Ale	4.5	NULL	NULL	NULL	44	Fruit/Vegetable	NULL	NULL
Three Floyds Alpha King	6	37	1.012	9	31	Pale Ale	9	American Pale Ale (APA)
Three Floyds Alpha Klaus	6	35	1.014	29	23	Porter	11	American Porter
Three Floyds Behemoth	12.5	85	1.022	14	14	Barley Wine	2	American Barleywine
Three Floyds Black Sun Stout	6.5	37	1.009	32	11	Stout	68	Irish Dry Stout
Three Floyds Brian Boru	5.5	22	1.011	14	8	Misc	69	Irish Red Ale
Three Floyds Dark Lord	15	70	1.024	35	11	Stout	56	Russian Imperial Stout
Three Floyds Dreadnaught	9.5	90	1.017	12	10	India Pale Ale	6	American Double / Imperial IPA
Three Floyds Gumballhead	4.8	13	1.01	3	26	Wheat Beer	10	American Pale Wheat Ale
Three Floyds Pride and Joy	6.5	37	1.012	9	31	Pale Ale	9	American Pale Ale (APA)
Three Floyds Rabbid Rabbit	7.4	25	1.007	9	24	Saison	36	Saison / Farmhouse Ale
Three Floyds Robert the Bruce	6.5	18	1.012	13	25	Scottish Style Ale	72	Scottish Ale
Timmermans Bourgogne Des Flandres	5	NULL	NULL	NULL	32	Wild Ale	NULL	NULL
Timmermans Bourgogne Des Flandres Blonde	6	NULL	NULL	NULL	31	Pale Ale	NULL	NULL
Timmermans Bourgogne Des Flandres Brune	5.2	NULL	NULL	NULL	32	Wild Ale	NULL	NULL
Tommyknocker Butt Head	8.2	21	1.02	16	16	Bock Beer	87	Doppelbock
Tommyknocker Imperial Nut Brown Ale	9.8	32	1.012	27	13	Brown Ale	4	American Brown Ale
Tommyknocker Maple Nut Brown Ale	4.5	32	1.012	27	13	Brown Ale	4	American Brown Ale
Tooheys Tooheys New	4.6	NULL	NULL	NULL	20	Lager	NULL	NULL
Traquair House Ale	7.2	26	1.035	19	25	Scottish Style Ale	71	Scotch Ale / Wee Heavy
Traquair Jacobite Ale	8	26	1.035	19	25	Scottish Style Ale	71	Scotch Ale / Wee Heavy
Tri-City Brownhoist Nut Brown Ale	4.8	NULL	NULL	NULL	13	Brown Ale	NULL	NULL
Tri-City Fortunato	7.5	NULL	NULL	NULL	36	Strong Ale	NULL	NULL
Tri-City Giant Slayer	8.5	NULL	NULL	NULL	11	Stout	NULL	NULL
Troegs Dead Reckoning Porter	5.8	35	1.014	29	23	Porter	11	American Porter
Troegs Dreamweaver Wheat	4.8	13	1.01	3	26	Wheat Beer	10	American Pale Wheat Ale
Troegs HopBack Amber	6	32	1.012	13	29	Amber	1	American Amber / Red Ale
Troegs JavaHead Stout	7.5	33	1.015	32	11	Stout	54	Oatmeal Stout
Troegs Mad Elf	11	28	1.017	17	36	Strong Ale	24	Belgian Strong Dark Ale
Troegs Nugget Nectar	7.5	32	1.012	13	29	Amber	1	American Amber / Red Ale
Troegs Pale Ale	5.4	37	1.012	9	31	Pale Ale	9	American Pale Ale (APA)
Troegs Rugged Trail	4.4	20	1.011	22	13	Brown Ale	43	English Brown Ale
Troegs The Flying Mouflan	9.3	85	1.022	14	14	Barley Wine	2	American Barleywine
Troegs Troegenator	8.2	21	1.02	16	16	Bock Beer	87	Doppelbock
Tsingtao Tsingtao	4.8	10	1.006	3	20	Lager	74	American Adjunct Lager
Tuckerman 6288 Stout	5.9	NULL	NULL	NULL	11	Stout	NULL	NULL
Tuckerman Headwall Alt	4.75	NULL	NULL	NULL	38	Old Ale	NULL	NULL
Tuckerman Pale Ale	5.5	NULL	NULL	NULL	31	Pale Ale	NULL	NULL
Turk Tuborg Skol Beer	0	NULL	NULL	NULL	20	Lager	NULL	NULL
Two Brothers Bonfire Dunkle Weisse	6.2	13	1.012	18	26	Wheat Beer	61	Dunkelweizen
Two Brothers Cane and Ebel	7	22	1.012	17	45	Specialty Grain	19	Rye Beer
Two Brothers Domain DuPage	5.9	15	1.012	12	35	Biere de Garde	27	Bière de Garde
Two Brothers Heavy Handed IPA	5.7	50	1.014	11	10	India Pale Ale	8	American IPA
Two Brothers Hop Juice	9.9	90	1.017	12	10	India Pale Ale	6	American Double / Imperial IPA
Two Brothers Monarch White Beer	4.5	NULL	NULL	NULL	26	Wheat Beer	NULL	NULL
Two Brothers Northwind	8.5	70	1.024	35	11	Stout	56	Russian Imperial Stout
Two Brothers Red Eye Coffee Porter	9.2	NULL	NULL	NULL	23	Porter	NULL	NULL
Two Brothers The Bitter End	5.1	37	1.012	9	31	Pale Ale	9	American Pale Ale (APA)
Two Brothers The Bitter End	5.1	37	1.012	9	31	Pale Ale	9	American Pale Ale (APA)
Tyranena Bitter Woman IPA	5.75	50	1.014	11	10	India Pale Ale	8	American IPA
Tyranena Devil Over  A Barrel	8	NULL	NULL	NULL	23	Porter	NULL	NULL
Tyranena Dirty Old Man	7.9	NULL	NULL	NULL	23	Porter	NULL	NULL
Tyranena High-Class Broad	?	NULL	NULL	NULL	13	Brown Ale	NULL	NULL
Tyranena Hop Whore	?	90	1.017	12	10	India Pale Ale	6	American Double / Imperial IPA
Tyranena Rocky's Revenge	6	32	1.012	27	13	Brown Ale	4	American Brown Ale
Tyranena Scurvy	?	NULL	NULL	NULL	10	India Pale Ale	NULL	NULL
Tyranena Sheep Shagger Scotch Ale	7.7	NULL	NULL	NULL	25	Scottish Style Ale	NULL	NULL
Tyranena Stickin' It To The Man	6.5	NULL	NULL	NULL	10	India Pale Ale	NULL	NULL
Tyranena The Devil Made Me Do It	7.5	NULL	NULL	NULL	23	Porter	NULL	NULL
Tyranena Three Beaches Honey Blonde	?	NULL	NULL	NULL	30	Blonde	NULL	NULL
Uinta Brewing Blue Sky Pilsener	4	40	1.015	5	12	Pilsner	82	Czech Pilsener
Uinta Brewing Cutthroat Pale Ale	4	37	1.012	9	31	Pale Ale	9	American Pale Ale (APA)
Uinta Brewing Summer Solstice Ale	4	25	1.009	4	39	Kolsch	65	Kölsch
Unibroue 17	10	28	1.017	17	36	Strong Ale	24	Belgian Strong Dark Ale
Unibroue Blanche De Chambly	5	NULL	NULL	NULL	26	Wheat Beer	NULL	NULL
Unibroue Chambly Noire	6.2	25	1.015	16	8	Misc	21	Belgian Dark Ale
Unibroue Don de Dieu	9	28	1.011	4	31	Pale Ale	25	Belgian Strong Pale Ale
Unibroue Éphémère Apple	5.5	NULL	NULL	NULL	44	Fruit/Vegetable	NULL	NULL
Unibroue La Fin Du Monde	9	30	1.011	6	9	Tripel	37	Tripel
Unibroue La Terrible	10.5	28	1.017	17	36	Strong Ale	24	Belgian Strong Dark Ale
Unibroue Maudite	8	28	1.017	17	36	Strong Ale	24	Belgian Strong Dark Ale
Unibroue Quelque Chose	8	NULL	NULL	NULL	44	Fruit/Vegetable	NULL	NULL
Unibroue Raftman	5.5	25	1.012	11	31	Pale Ale	23	Belgian Pale Ale
Unibroue Seigneuriale	7.5	28	1.011	4	31	Pale Ale	25	Belgian Strong Pale Ale
Unibroue Trois Pistoles	9	28	1.017	17	36	Strong Ale	24	Belgian Strong Dark Ale
United Breweries Kingfisher Premium Lager	4.8	10	1.006	3	20	Lager	78	American Pale Lager
Urthel Hibernus Quentum	9	30	1.011	6	9	Tripel	37	Tripel
Urthel Hop-it	9.5	55	1.014	11	10	India Pale Ale	22	Belgian IPA
Urthel Saisonnière	6	25	1.007	9	24	Saison	36	Saison / Farmhouse Ale
Urthel Samaranth	11	NULL	NULL	NULL	34	Quad	NULL	NULL
Urthel Vlaemse Bock	7.5	28	1.017	17	36	Strong Ale	24	Belgian Strong Dark Ale
Van den Bossche Buffalo Belgian Bitter	8.5	55	1.014	11	10	India Pale Ale	22	Belgian IPA
Van den Bossche Buffalo Belgian Stout	9	28	1.017	17	36	Strong Ale	24	Belgian Strong Dark Ale
Van den Bossche Pater Lieven Tripel	8	30	1.011	6	9	Tripel	37	Tripel
Van Honsebrouck Bacchus	4.5	NULL	NULL	NULL	32	Wild Ale	NULL	NULL
Van Honsebrouck Brigand	9	NULL	NULL	NULL	36	Strong Ale	NULL	NULL
Van Honsebrouck Kasteel Blonde	11	30	1.011	6	9	Tripel	37	Tripel
Van Honsebrouck Kasteel Bruin	11	28	1.017	17	34	Quad	35	Quadrupel (Quad)
Van Honsebrouck Kasteel Rouge	8	13	1.012	8	44	Fruit/Vegetable	101	Fruit / Vegetable Beer
Van Honsebrouck St. Louis Gueuze Fond Tradition	5	NULL	NULL	NULL	32	Wild Ale	NULL	NULL
Van Honsebrouck St. Louis Kriek	4.5	NULL	NULL	NULL	32	Wild Ale	NULL	NULL
Van Honsebrouck St. Louis Pêche	3.5	NULL	NULL	NULL	32	Wild Ale	NULL	NULL
Van Honsebrouck St. Louis Premium Framboise	2.8	NULL	NULL	NULL	32	Wild Ale	NULL	NULL
Van Honsebrouck St. Louis Premium Kriek	3.2	NULL	NULL	NULL	32	Wild Ale	NULL	NULL
Van Steenberge Augustijn	8	30	1.011	6	9	Tripel	37	Tripel
Van Steenberge Bios Kriek	5	5	1.005	5	44	Fruit/Vegetable	33	Lambic - Fruit
Van Steenberge Bornem Double	8	20	1.013	13	33	Dubbel	28	Dubbel
Van Steenberge Bornem Triple	9	30	1.011	6	9	Tripel	37	Tripel
Van Steenberge Bruegel	5.2	25	1.012	11	30	Blonde	23	Belgian Pale Ale
Van Steenberge Gulden Draak	10.5	28	1.017	17	9	Tripel	24	Belgian Strong Dark Ale
Van Steenberge Monk's Café	5.5	15	1.015	19	32	Wild Ale	30	Flanders Oud Bruin
Van Steenberge Piraat	10.5	55	1.014	11	10	India Pale Ale	22	Belgian IPA
Verhaeghe Duchesse de Bourgogne	6.2	18	1.007	13	32	Wild Ale	31	Flanders Red Ale
Verhaeghe Echt Kriekenbier	6.8	18	1.007	13	32	Wild Ale	31	Flanders Red Ale
Verhaeghe Vichtenaar	5.1	18	1.007	13	32	Wild Ale	31	Flanders Red Ale
Victory Baltic Thunder	8.5	30	1.02	23	23	Porter	39	Baltic Porter
Victory Festbier	5.6	23	1.014	11	42	Marzen	95	Märzen / Oktoberfest
Victory Golden Monkey	9.5	30	1.011	6	9	Tripel	37	Tripel
Victory Helios	7.5	25	1.007	9	24	Saison	36	Saison / Farmhouse Ale
Victory Hop Wallop	8.5	90	1.017	12	10	India Pale Ale	6	American Double / Imperial IPA
Victory HopDevil	6.7	50	1.014	11	10	India Pale Ale	8	American IPA
Victory Moonglow Weizenbock	8.7	22	1.019	19	16	Bock Beer	67	Weizenbock
Victory Old Horizontal	11	85	1.022	14	14	Barley Wine	2	American Barleywine
Victory Prima Pils	5.3	35	1.01	4	12	Pilsner	90	German Pilsener
Victory St. Boisterous	7.4	28	1.015	8	16	Bock Beer	92	Maibock / Helles Bock
Victory St. Victorious	8.5	21	1.02	16	16	Bock Beer	87	Doppelbock
Victory Storm King	9.1	70	1.024	35	11	Stout	56	Russian Imperial Stout
Victory Sunrise Weiss	5.7	12	1.012	5	26	Wheat Beer	63	Hefeweizen
Victory Ten Years Alt	8.5	38	1.013	16	38	Old Ale	59	Altbier
Victory V Lager	5.2	19	1.01	4	20	Lager	94	Munich Helles Lager
Victory V Twelve	12	28	1.017	17	34	Quad	35	Quadrupel (Quad)
Victory Whirlwind	5	15	1.01	3	26	Wheat Beer	38	Witbier
Victory Wild Devil Ale	6.7	55	1.014	11	32	Wild Ale	22	Belgian IPA
Victory Yakima Glory	8.7	55	1.014	25	8	Misc	104	Black IPA / Cascadian Dark Ale
Voodoo Big Black Voodoo Daddy	12	NULL	NULL	NULL	11	Stout	NULL	NULL
Voodoo Black Magick	15	70	1.024	35	11	Stout	7	American Double / Imperial Stout
Voodoo Gran Met	9.5	15	1.012	12	35	Biere de Garde	27	Bière de Garde
Voodoo Love Child	9.5	NULL	NULL	NULL	35	Biere de Garde	NULL	NULL
Voodoo Pilzilla	6.7	30	1.012	5	12	Pilsner	91	Keller Bier / Zwickel Bier
Voodoo White Magick Of The Sun	6	NULL	NULL	NULL	26	Wheat Beer	NULL	NULL
Voodoo Wynona's Big Brown Ale	7.2	32	1.012	27	13	Brown Ale	4	American Brown Ale
Wachusett Blueberry	4.4	13	1.012	8	44	Fruit/Vegetable	101	Fruit / Vegetable Beer
Wachusett Green Monsta	6.4	85	1.02	13	36	Strong Ale	13	American Strong Ale
Wachusett IPA	5.6	50	1.014	11	10	India Pale Ale	8	American IPA
Warsteiner Premium Dunkel	4.9	23	1.013	21	20	Lager	93	Munich Dunkel Lager
Warsteiner Premium Verum	4.8	35	1.01	4	12	Pilsner	90	German Pilsener
Weihenstephaner Festbier	5.8	23	1.014	11	42	Marzen	95	Märzen / Oktoberfest
Weihenstephaner Hefeweissbier	5.4	12	1.012	5	26	Wheat Beer	63	Hefeweizen
Weihenstephaner Hefeweissbier Dunkel	5.3	13	1.012	18	26	Wheat Beer	61	Dunkelweizen
Weihenstephaner Korbinian	7.4	21	1.02	16	16	Bock Beer	87	Doppelbock
Weihenstephaner Kristallweissbier	5.4	12	1.01	3	26	Wheat Beer	64	Kristalweizen
Weihenstephaner Original Premium	5.1	19	1.01	4	20	Lager	94	Munich Helles Lager
Weihenstephaner Vitus	7.7	22	1.019	19	16	Bock Beer	67	Weizenbock
Wells Banana Bread Beer	5.2	13	1.012	8	44	Fruit/Vegetable	101	Fruit / Vegetable Beer
Wells Wells Bombardier	5.2	NULL	NULL	NULL	28	Bitter	NULL	NULL
Weltenburger Anno 1050	5.5	NULL	NULL	NULL	42	Marzen	NULL	NULL
Weltenburger Asam Bock	6.9	21	1.02	16	16	Bock Beer	87	Doppelbock
Weltenburger Barock Dunkel	4.7	23	1.013	21	20	Lager	93	Munich Dunkel Lager
Weltenburger Barock Hell	5.6	19	1.01	4	20	Lager	94	Munich Helles Lager
Weltenburger Hefe-Weissbier Dunkel	5.3	13	1.012	18	26	Wheat Beer	61	Dunkelweizen
Weltenburger Hefe-Weizen Dunkel	5.3	13	1.012	18	26	Wheat Beer	61	Dunkelweizen
Weltenburger Hefe-Weizen Hell	5.4	12	1.012	5	26	Wheat Beer	63	Hefeweizen
Weltenburger Urtyp Hell	4.9	19	1.01	4	20	Lager	94	Munich Helles Lager
Weltenburger Winter-Traum	5.2	23	1.014	11	42	Marzen	95	Märzen / Oktoberfest
Westmalle Dubbel	7	20	1.013	13	33	Dubbel	28	Dubbel
Westmalle Tripel	9.5	30	1.011	6	9	Tripel	37	Tripel
Westvleteren Westvleteren 12	10.2	28	1.017	17	34	Quad	35	Quadrupel (Quad)
Westvleteren Westvleteren 8	8	20	1.013	13	33	Dubbel	28	Dubbel
Westvleteren Westvleteren Blond	5.8	25	1.012	11	30	Blonde	23	Belgian Pale Ale
Weyerbacher Blithering Idiot	11.1	52	1.024	15	14	Barley Wine	41	English Barleywine
Weyerbacher Double Simcoe IPA	9	90	1.017	12	10	India Pale Ale	6	American Double / Imperial IPA
Weyerbacher Heresy	8	70	1.024	35	11	Stout	56	Russian Imperial Stout
Weyerbacher Hops Infusion	6.2	50	1.014	11	10	India Pale Ale	8	American IPA
Weyerbacher Imperial Pumpkin Ale	8	20	1.015	15	44	Fruit/Vegetable	18	Pumpkin Ale
Weyerbacher Insanity	11.1	52	1.024	15	14	Barley Wine	41	English Barleywine
Weyerbacher Merry Monks' Ale	9.3	30	1.011	6	9	Tripel	37	Tripel
Weyerbacher Old Heathen	8	70	1.024	35	11	Stout	56	Russian Imperial Stout
Weyerbacher Quad	11.8	28	1.017	17	34	Quad	35	Quadrupel (Quad)
Weyerbacher Winter Ale	5.6	25	1.016	17	36	Strong Ale	57	Winter Warmer
Widmer Brothers Broken Halo IPA	6	50	1.014	11	10	India Pale Ale	8	American IPA
Widmer Brothers Brrr	7.2	25	1.016	17	36	Strong Ale	57	Winter Warmer
Widmer Brothers Cherry Oak Doppelbock	9	21	1.02	16	16	Bock Beer	87	Doppelbock
Widmer Brothers Drifter Pale Ale	5.7	37	1.012	9	31	Pale Ale	9	American Pale Ale (APA)
Widmer Brothers Drop Top Amber	5	32	1.012	13	29	Amber	1	American Amber / Red Ale
Widmer Brothers Hefeweizen	4.9	13	1.01	3	26	Wheat Beer	10	American Pale Wheat Ale
Widmer Brothers Okto	5.5	38	1.013	16	38	Old Ale	59	Altbier
Widmer Brothers Snow Plow	5.5	30	1.019	35	11	Stout	53	Milk / Sweet Stout
William Bull William's Pale Ale	4.5	NULL	NULL	NULL	31	Pale Ale	NULL	NULL
Williams Brothers Alba Scots Pine Ale	7.5	2	1.013	10	8	Misc	73	Scottish Gruit / Ancient Herbed Ale
Wychwood Fiddler's Elbow	5.2	30	1.01	9	31	Pale Ale	46	English Pale Ale
Wychwood Hobgoblin	5.2	20	1.011	22	13	Brown Ale	43	English Brown Ale
Wychwood Scarecrow	4.7	30	1.01	9	31	Pale Ale	46	English Pale Ale
Wychwood WychCraft	4.5	30	1.01	9	31	Pale Ale	46	English Pale Ale
Yards Brawler	4.2	18	1.01	19	37	Mild	44	English Dark Mild Ale
Yards Extra Special Ale	6.3	40	1.013	12	28	Bitter	51	Extra Special / Strong Bitter (ESB)
Yards General Washington's Tavern Porter	7	27	1.011	25	23	Porter	48	English Porter
Yards India Pale Ale	7	50	1.014	11	10	India Pale Ale	45	English India Pale Ale (IPA)
Yards Love Stout	5	38	1.01	33	11	Stout	49	English Stout
Yards Philadelphia Pale Ale	4.3	37	1.012	9	31	Pale Ale	9	American Pale Ale (APA)
Yards Saison	6.5	25	1.007	9	24	Saison	36	Saison / Farmhouse Ale
Yards Thomas Jefferson's Tavern Ale	8	26	1.02	17	36	Strong Ale	50	English Strong Ale
Young's Oatmeal Stout	5.2	33	1.015	32	11	Stout	54	Oatmeal Stout
Young's Old Nick	7.2	52	1.024	15	14	Barley Wine	41	English Barleywine
Youngs Double Chocolate Stout	5.2	30	1.019	35	11	Stout	53	Milk / Sweet Stout
Youngs Special London Ale	6.4	40	1.013	12	28	Bitter	51	Extra Special / Strong Bitter (ESB)
Youngs Waggledance	5	30	1.01	9	31	Pale Ale	46	English Pale Ale
