BEER_ID	BEER	ABV	IBU	GRAVITY	COLOR	CATEGORY_ID	CATEGORY_NAME	STYLE_ID	STYLE_NAME
1016	21st Amendment Brew Free or Die IPA	7	50	1.014	11	10	India Pale Ale	8	American IPA
1859	21st Amendment Fireside Chat	7.9	25	1.016	17	36	Strong Ale	57	Winter Warmer
1017	21st Amendment Hell or High Watermelon	4.9	13	1.012	8	44	Fruit/Vegetable	101	Fruit / Vegetable Beer
1018	21st Amendment Monk's Blood	8.3	28	1.017	17	36	Strong Ale	24	Belgian Strong Dark Ale
1099	Abbaye des Rocs Brasserie des Rocs Ambree	9	28	1.017	17	36	Strong Ale	24	Belgian Strong Dark Ale
1100	Abbaye des Rocs Brasserie des Rocs Blanche Double	6	15	1.01	3	26	Wheat Beer	38	Witbier
1101	Abbaye des Rocs Brasserie des Rocs Blonde	7.5	28	1.011	4	36	Strong Ale	25	Belgian Strong Pale Ale
1102	Abbaye des Rocs Brasserie des Rocs Brune	9	28	1.017	17	36	Strong Ale	24	Belgian Strong Dark Ale
1103	Abbaye des Rocs Brasserie des Rocs Grand Cru	9.5	28	1.017	17	36	Strong Ale	24	Belgian Strong Dark Ale
1104	Abbaye des Rocs Brasserie des Rocs Triple Imperiale	10	28	1.017	17	36	Strong Ale	24	Belgian Strong Dark Ale
1094	Abbaye du Val-Dieu Val-Dieu Blond	6	25	1.012	11	31	Pale Ale	23	Belgian Pale Ale
1095	Abbaye du Val-Dieu Val-Dieu Brune	8	20	1.013	13	33	Dubbel	28	Dubbel
1096	Abbaye du Val-Dieu Val-Dieu Grand Cru	10.5	28	1.017	17	34	Quad	35	Quadrupel (Quad)
1097	Abbaye du Val-Dieu Val-Dieu Triple	9	30	1.011	6	9	Tripel	37	Tripel
776	Abita Abbey Ale	8	20	1.013	13	33	Dubbel	28	Dubbel
781	Abita Abita Light	4	10	1.001	3	20	Lager	80	Light Lager
1852	Abita Amber	4.5	23	1.014	11	42	Marzen	95	Märzen / Oktoberfest
777	Abita Andygator	8	NULL	NULL	NULL	16	Bock Beer	NULL	NULL
778	Abita Christmas Ale	6.13	NULL	NULL	NULL	29	Amber	NULL	NULL
779	Abita Fall Fest	5.4	NULL	NULL	NULL	42	Marzen	NULL	NULL
780	Abita Jockamo IPA	6.5	NULL	NULL	NULL	10	India Pale Ale	NULL	NULL
782	Abita Mardi Gras Bock	6.5	NULL	NULL	NULL	16	Bock Beer	NULL	NULL
783	Abita Pecan Harvest	5	32	1.012	27	13	Brown Ale	4	American Brown Ale
784	Abita Purple Haze	4.2	NULL	NULL	NULL	44	Fruit/Vegetable	NULL	NULL
785	Abita Restoration Pale Ale	5	NULL	NULL	NULL	31	Pale Ale	NULL	NULL
786	Abita Satsuma Harvest Wit	5.1	NULL	NULL	NULL	26	Wheat Beer	NULL	NULL
1793	Abita SOS	7	35	1.01	4	12	Pilsner	90	German Pilsener
787	Abita Strawberry Harvest Lager	4.2	NULL	NULL	NULL	44	Fruit/Vegetable	NULL	NULL
788	Abita Turbodog	6.13	20	1.011	22	13	Brown Ale	43	English Brown Ale
598	Achel Trappist 5 Blonde	5	NULL	NULL	NULL	30	Blonde	NULL	NULL
599	Achel Trappist Bruin	8	28	1.017	17	36	Strong Ale	24	Belgian Strong Dark Ale
600	Achel Trappist Extra	9.5	NULL	NULL	NULL	34	Quad	NULL	NULL
1019	Achouffe Chouffe Houblon Dobbelen IPA Tripel	9	55	1.014	11	10	India Pale Ale	22	Belgian IPA
1020	Achouffe La Chouffe	8	28	1.011	4	36	Strong Ale	25	Belgian Strong Pale Ale
1021	Achouffe McChouffe	8	28	1.017	17	25	Scottish Style Ale	24	Belgian Strong Dark Ale
1022	Achouffe N'Ice Chouffe	10	28	1.017	17	36	Strong Ale	24	Belgian Strong Dark Ale
2041	Adnams Broadside	6.3	NULL	NULL	NULL	28	Bitter	NULL	NULL
44	Affligem Affligem Blonde	6.8	28	1.011	4	30	Blonde	25	Belgian Strong Pale Ale
45	Affligem Affligem Dubbel	7	20	1.013	13	33	Dubbel	28	Dubbel
46	Affligem Affligem Noel	9	28	1.017	17	36	Strong Ale	24	Belgian Strong Dark Ale
47	Affligem Affligem Tripel	8.5	30	1.011	6	9	Tripel	37	Tripel
48	Alaskan Alaskan Amber	5	38	1.013	16	38	Old Ale	59	Altbier
49	Alaskan Alaskan Baltic Porter	9.9	30	1.02	23	23	Porter	39	Baltic Porter
50	Alaskan Alaskan Barley Wine	10.4	85	1.022	14	14	Barley Wine	2	American Barleywine
51	Alaskan Alaskan IPA	6.2	50	1.014	11	10	India Pale Ale	8	American IPA
52	Alaskan Alaskan Pale	4.65	37	1.012	9	31	Pale Ale	9	American Pale Ale (APA)
53	Alaskan Alaskan Stout	5.65	33	1.015	32	11	Stout	54	Oatmeal Stout
54	Alaskan Alaskan Summer	5.3	25	1.009	4	39	Kolsch	65	Kölsch
55	Alaskan Alaskan White	8.3	15	1.01	3	26	Wheat Beer	38	Witbier
56	Alaskan Alaskan Winter	6.4	25	1.016	17	38	Old Ale	57	Winter Warmer
1849	Alaskan Double Black IPA	8.5	55	1.014	25	8	Misc	104	Black IPA / Cascadian Dark Ale
2042	Alaskan Smoked Porter	6.5	NULL	NULL	NULL	23	Porter	NULL	NULL
1026	AleSmith AleSmith IPA	7.25	50	1.014	11	10	India Pale Ale	8	American IPA
1030	AleSmith AleSmith X	5	37	1.012	9	31	Pale Ale	9	American Pale Ale (APA)
1024	AleSmith Anvil ESB	5.5	40	1.013	12	28	Bitter	51	Extra Special / Strong Bitter (ESB)
