65,1274,1
65,423,0.2
65,1509,1
65,356,0.6
65,788,0.6
65,32,0.8
65,393,0.4
65,1005,1
65,526,0.2
65,46,1
65,777,0.6
65,360,0.2
65,1322,0.2
65,1125,1
65,87,0.8
65,1271,0.6
65,692,0.2
65,347,0.6
65,757,0.6
65,949,0.4
65,1358,0.4
65,1969,0.6
65,648,0.8
65,662,1
65,2039,0.8
65,1272,0.8
65,1282,0.8
65,889,0.8
65,1656,1
65,1400,1
65,1401,0.6
65,88,0.8
65,257,1
65,821,0.2
65,102,0.4
65,39,0.8
65,388,0.2
65,295,0.2
65,1283,0.8
65,1156,0.6
65,886,0.8
65,169,0.2
65,1357,0.2
65,733,0.2
65,384,0.2
65,741,0.8
65,638,0.4
65,634,0.2
65,525,0.2
65,1675,0.2
65,126,0.2
65,602,1
65,819,0.8
65,1369,1
65,693,0.2
65,941,0.6
65,534,0.6
65,359,0.4
65,389,0.8
65,1497,1
65,1503,0.8
65,41,1
65,2289,0.8
65,1302,0.4
65,1665,0.8
65,734,0.2
65,1278,1
65,1560,0.8
65,1280,0.4
65,1888,0.6
65,523,0.2
65,57,0.4
65,1532,0.6
65,1069,1
65,20,0.8
65,123,0.2
65,86,0.8
65,424,0.2
65,387,0.2
65,1050,0.8
65,1886,0.8
65,967,0.8
65,781,0.2
65,386,0.2
65,1501,1
65,395,0.8
65,390,0.6
65,1334,1
65,1895,0.8
65,1613,0.6
65,708,0.2
65,1662,0.6
65,1669,0.2
65,789,1
65,385,0.2
65,23,1
65,775,0.6
65,637,0.2
65,36,0.8
65,743,0.8
65,522,0.2
65,527,0.6
65,1610,0.8
65,1277,0.8
65,1420,0.8
65,124,0.2
65,601,0.8
65,1590,0.8
65,1653,0.4
65,942,0.6
65,635,0.2
65,1246,0.8
65,1680,0.6
65,1279,0.8
65,1846,0.4
65,668,1
65,1273,1
65,40,0.8
65,945,0.8
65,531,0.6
65,225,0.8
65,1482,0.8
65,691,0.2
65,2143,1
65,524,0.2
65,529,0.6
65,694,0.2
65,780,0.6
65,1670,0.2
65,1324,0.2
65,125,0.2
65,598,0.8
65,2040,0.4
65,1863,0.6
65,1275,0.8
65,530,0.8
65,1519,1
65,1927,0.8
65,1198,0.6
65,904,0.8
65,21,1
65,1548,1
65,1281,0.8
65,1852,0.6
66,2062,0.2
66,2068,0.4
66,1863,0.4
66,1004,0.8
66,1504,0.2
66,1872,0.6
66,1873,0.4
66,1880,0.6
66,2162,0.6
66,1898,0.8
66,1052,0.2
66,1596,0.2
66,530,0.8
66,1519,0.8
66,1193,0.6
66,1927,1
66,1164,0.6
