Silver City Ridgetop Red	American Amber / Red Ale
Steinhaus Jumping Cow Amber Ale	American Amber / Red Ale
Santa Cruz Mountain Amber Ale	American Amber / Red Ale
Magic Hat Hex	American Amber / Red Ale
Highland Gaelic Ale	American Amber / Red Ale
Odell Brewing 90 Shilling Ale	American Amber / Red Ale
Duck-Rabbit Amber Ale	American Amber / Red Ale
Mac and Jack's African Amber	American Amber / Red Ale
Odell Brewing Levity Amber Ale	American Amber / Red Ale
Odell Brewing Red Ale	American Amber / Red Ale
Oggi's Sunset Amber Ale	American Amber / Red Ale
Rush River The Unforgiven Amber Ale	American Amber / Red Ale
Sprecher Shakparo	American Amber / Red Ale
Capital Winter Skål	American Amber / Red Lager
Capital Wisconsin Amber	American Amber / Red Lager
Flying Dog Old Scratch	American Amber / Red Lager
Full Sail Full Sail LTD 02	American Amber / Red Lager
Coors Killian's Irish Red	American Amber / Red Lager
Leinenkugel's Classic Amber	American Amber / Red Lager
Pyramid Rollick Amber Lager	American Amber / Red Lager
Anheuser-Busch InBev Redbridge	American Amber / Red Lager
Saranac Traditional Lager	American Amber / Red Lager
Coney Island (Shmaltz) Coney Island Lager	American Amber / Red Lager
Coney Island (Shmaltz) Freaktoberfest	American Amber / Red Lager
Coney Island (Shmaltz) Human Blockhead	American Amber / Red Lager
Genesee Dundee Honey Brown	American Amber / Red Lager
Yuengling Traditional Lager	American Amber / Red Lager
Karl Strauss Amber Lager	American Amber / Red Lager
Hometown New Jersey Lager	American Amber / Red Lager
Hometown New York Lager	American Amber / Red Lager
Rahr and Sons Texas Red	American Amber / Red Lager
Schell's Hopfenmalz	American Amber / Red Lager
Straub Peter Straub's Special Dark	American Amber / Red Lager
Full Sail Amber	American Amber Ale
Lagunitas Censored (Kronik)	American Amber Ale
Anheuser-Busch Wild Hop Lager	American Amber Lager
Lagunitas Olde Gnarlywine	American Barley Wine
Alaskan Alaskan Barley Wine	American Barleywine
Bell's Batch 6,000	American Barleywine
Bell's Time Capsule Ale	American Barleywine
Big Sky Olde Bluehair	American Barleywine
Full Sail Old Boardhead	American Barleywine
Great Divide Barrel-Aged Old Ruffian	American Barleywine
Great Divide Old Ruffian	American Barleywine
Harpoon Barley Wine	American Barleywine
Left Hand Oak-Aged Widdershins	American Barleywine
Mikkeller Big Worse Barley Wine	American Barleywine
